rooftop_id,enterprise_id,rooftop_name,enterprise_name,Company Domain ,csm_poc,Product Stage,city,district,state,country,zipcode,account_type,account_sub_type,address_line1,address_line2,geo_coordinates
04d88ca8fd,d15271e1f,AdosMotorsMN,Ado's Motors LLC,adosmotorsmn.com,prathamesh.prashant@spyne.ai,Studio Live,Saint Paul,,Minnesota,United States,55102,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,834 7th St W,,"{""lat"":44.930854,""lng"":-93.1214872}"
17c4e868b,720bb9796,Airpark Motor Cars LLC,Airpark Motor Cars LLC,airparkmotorcars.com,garvit.sharma@spyne.ai,Studio Live,Scottsdale,,Arizona,United States,85260,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,8135 E Butherus Dr Ste 6,,"{""lat"":33.6201181,""lng"":-111.905548}"
133218a6aa,ec7fa01a5,Al Piemonte Buick GMC,Al Piemonte,apbuickgmc.com,abhijeet.mitra@spyne.ai,Studio Live,Elmhurst,,Illinois,United States,60126,GROUP_DEALER,FRANCHISE_DEALER,364 W Grand Ave,,"{""lat"":41.9307219,""lng"":-87.9523903}"
afbf16b86d,ec7fa01a5,Al Piemonte Chevrolet of Dundee,Al Piemonte,,abhijeet.mitra@spyne.ai,Studio Live,East Dundee,,Illinois,United States,60118,GROUP_DEALER,FRANCHISE_DEALER,770 Dundee Ave,,"{""lat"":42.0875105,""lng"":-88.2591684}"
8644d8946e,5e80b8c93,All Credit Auto Sales,All Credit Auto Sales,allcreditautosales.com,manpreet.kaur@spyne.ai,Studio Churned,Hendersonville,,Tennessee,United States,37075,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,1169 west main st,,"{""lat"":36.309161,""lng"":-86.6652095}"
81450d3ae,838db311d,whiteplainshonda,Alliance Automotive of Westchester LLC dba White P,whiteplainshonda.com,ankur.batra@spyne.ai,Studio Live,White Plains,,New York,United States,10606,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"344 Central Avenue, White Plains, New York 10606.",,"{""lat"":41.033561,""lng"":-73.788005}"
a9f5026462,bfb5d64ff,Alpha One Chevrolet,Alpha One Automotive,alphaonechevrolet.com,aman.seth@spyne.ai,Studio Live,Rockdale,Milam County,Texas,United States,76567,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"476, East Cameron Avenue",Milam County,"{""lat"":30.6570452,""lng"":-96.99739230000002}"
e0a55612d9,bfb5d64ff,Alpha One Ford,Alpha One Automotive,alphaoneford.com,aman.seth@spyne.ai,Studio Live,La Grange,Fayette County,Texas,United States,78945,INDIVIDUAL_DEALER,FRANCHISE_DEALER,Alpha One Ford,Fayette County,"{""lat"":29.9055033,""lng"":-96.876647}"
5747b2028,eaab7f702,MP5709,Amato Hyundai Of Glendale,,avinash.jha@spyne.ai,Studio Live,Glendale,,Wisconsin,United States,53217,INDIVIDUAL_DEALER,FRANCHISE_DEALER,5200 North Port Washington Road,,"{""lat"":43.1121583,""lng"":-87.9159185}"
d32e8c23-d,67b1565d7,Amigo Chevrolet,"Amigo Auto Group, Inc.",amigoautomotive.com,jaspreet.kaur@spyne.ai,Studio Live,Gallup,,New Mexico,United States,87301,GROUP_DEALER,FRANCHISE_DEALER,1900 South 2nd Street,,"{""lat"":35.5066357,""lng"":-108.7389231}"
0b2a29a1-7,67b1565d7,Amigo Toyota,"Amigo Auto Group, Inc.",amigotoyota.com,jaspreet.kaur@spyne.ai,Studio Live,Gallup,,New Mexico,United States,87301,GROUP_DEALER,FRANCHISE_DEALER,2100 S 2nd St,,"{""lat"":35.5258028,""lng"":-108.74179}"
1302536ea,bb63009cf,East Coast Volkswagen,Apex Automotive Group,eastcoastvolkswagen.com,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29588,GROUP_DEALER,FRANCHISE_DEALER,"8756-C Highway 17 Bypass South, Myrtle Beach",,"{""lat"":33.6372159,""lng"":-78.9952696}"
25ba5ca3b,bb63009cf,New east Coast Honda,Apex Automotive Group,piedmontchryslerdodgejeep.com,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29588,GROUP_DEALER,FRANCHISE_DEALER,"8756A US Highway 17 Bypass South, Myrtle Beach",,"{""lat"":33.6363587,""lng"":-78.9958559}"
4bd96ba7d,bb63009cf,Piedmont CDJR _1,Apex Automotive Group,piedmontchryslerdodgejeep.com,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29621,GROUP_DEALER,FRANCHISE_DEALER,"4015 Clemson Boulevard, Anderson",,"{""lat"":34.556874,""lng"":-82.6866289}"
677e8b33c,bb63009cf,Piedmont CDJR _2,Apex Automotive Group,piedmontchryslerdodgejeep.com,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29621,GROUP_DEALER,FRANCHISE_DEALER,"4015 Clemson Boulevard, Anderson",,"{""lat"":34.556874,""lng"":-82.6866289}"
637c59bd0,bb63009cf,Piedmont Honda,Apex Automotive Group,piedmontcars.net,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29621,GROUP_DEALER,FRANCHISE_DEALER,"4011 Clemson Boulevard, Anderson",,"{""lat"":34.5567943,""lng"":-82.686497}"
9550f91b2,bb63009cf,Piedmont Honda(Used),Apex Automotive Group,piedmontchryslerdodgejeep.com,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29621,GROUP_DEALER,FRANCHISE_DEALER,4011 Clemson Blvd,,"{""lat"":34.5564523,""lng"":-82.6853903}"
2d795c40e,bb63009cf,Used East Coast Honda,Apex Automotive Group,eastcoastcars.net,jaspreet.kaur@spyne.ai,Studio Live,Anderson,,South Carolina,United States,29588,GROUP_DEALER,FRANCHISE_DEALER,"8756A US Highway 17 Bypass South, Myrtle Beach",,"{""lat"":33.6363587,""lng"":-78.9958559}"
baadc552e3,6d5f8744e,Ariana Motors,Ariana Motors,arianamotors.vegas,prathamesh.prashant@spyne.ai,Studio Live,Garland,Dallas County,Texas,United States,75041,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,"2713, South Garland Avenue","Unit suite 100, Dallas County","{""lat"":32.8846398,""lng"":-96.6569559}"
7ff71f607a,75b816d9b,Ariana Motors,Ariana Motors,arianamotors.vegas,prathamesh.prashant@spyne.ai,Studio Live,Garland,Dallas County,Texas,United States,75041,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,"2713, South Garland Avenue",Dallas County,"{""lat"":32.8846398,""lng"":-96.6569559}"
a08c8aa228,6d5f8744e,DFW Auto Sale,Ariana Motors,dfwautosources.com,prathamesh.prashant@spyne.ai,Studio Live,Balch Springs,,Texas,United States,75180,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,4605 Hickory Tree Rd,,"{""lat"":32.7088612,""lng"":-96.6227577}"
cca523be79,4cd846055,DBA  Asa Auto Plaza Of Austin,Asa Auto Plaza Of Austin,asaautoplazaaustin.com,ishika.arora@spyne.ai,Studio Live,Austin,,Minnesota,United States,55912,GROUP_DEALER,FRANCHISE_DEALER,703 17th Ave NW,,"{""lat"":43.682926,""lng"":-92.9829635}"
af3b90ffd,6454b95ba,Audi North Atlanta,Asbury Automotive Management L.L.C,audinorthatlanta.com,ankur.batra@spyne.ai,Studio Live,Roswell,,Georgia,United States,30076,GROUP_DEALER,FRANCHISE_DEALER,11505 Alpharetta Highway,,"{""lat"":34.0595458,""lng"":-84.3243835}"
3dc3d569-9,6454b95ba,Bentley Atlanta,Asbury Automotive Management L.L.C,bentleyatlanta.com,ankur.batra@spyne.ai,Studio Live,Alpharetta,,Georgia,United States,30009,GROUP_DEALER,FRANCHISE_DEALER,10995 Westside Parkway,,"{""lat"":34.041798,""lng"":-84.3193834}"
0f18649a-4,6454b95ba,Coggin Acura Fort Pierce,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Fort Pierce,St. Lucie County,Florida,United States,34982,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4400, South US Highway 1",St. Lucie County,"{""lat"":27.3832647,""lng"":-80.324789}"
e79ee1f7-3,6454b95ba,Coggin BMW,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Fort Pierce,St. Lucie County,Florida,United States,34982,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4429, South US Highway 1",St. Lucie County,"{""lat"":27.3821901,""lng"":-80.32680789999999}"
273c5086-9,6454b95ba,Coggin Chevrolet At the Avenues,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Jacksonville,Duval County,Florida,United States,32258,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"10880, U.S. 1","Southside, Duval County","{""lat"":30.173059743568537,""lng"":-81.54745797368011}"
47378077-1,6454b95ba,Coggin Deland Ford Lincoln,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Orange City,Volusia County,Florida,United States,32763,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2655, North Volusia Avenue",Volusia County,"{""lat"":28.970888686053893,""lng"":-81.29976131586913}"
0f12bd9e-c,6454b95ba,Coggin Deland Honda,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Orange City,Volusia County,Florida,United States,32763,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2677, North Volusia Avenue",Volusia County,"{""lat"":28.97269911425971,""lng"":-81.29998303068848}"
9797c127-9,6454b95ba,Coggin Deland Hyundai,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,DeLand,Volusia County,Florida,United States,32720,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2308, South Woodland Boulevard",Volusia County,"{""lat"":28.9891982786996,""lng"":-81.30189199977467}"
71b882ea-f,6454b95ba,Coggin Ford,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Jacksonville,Duval County,Florida,United States,32225,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"9650, Atlantic Boulevard","Southside Estates, Duval County","{""lat"":30.3210003,""lng"":-81.54760139999999}"
ad2f293a-9,6454b95ba,Coggin Honda Fort Pierce,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Fort Pierce,St. Lucie County,Florida,United States,34982,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4450, South US Highway 1",St. Lucie County,"{""lat"":27.3819629,""lng"":-80.3247998}"
5e6071b3-3,6454b95ba,Coggin Honda Jacksonville,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Jacksonville,Duval County,Florida,United States,32225,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"11003, Atlantic Boulevard","East Arlington, Duval County","{""lat"":30.32563096331398,""lng"":-81.51231624410792}"
622b9d5b-d,6454b95ba,Coggin Honda Orlando,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Orlando,Orange County,Florida,United States,32837,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"11051, South Orange Blossom Trail",Orange County,"{""lat"":28.406838404296316,""lng"":-81.4035571460327}"
167ca531-2,6454b95ba,Coggin Honda St Augustine,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,St. Augustine,St. Johns County,Florida,United States,32086,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2925, U.S. 1",St. Johns County,"{""lat"":29.8399038,""lng"":-81.3242099}"
1f0e8cad-8,6454b95ba,Coggin Nissan Atlantic,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Jacksonville,Duval County,Florida,United States,32225,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"10600, Florida 10","Southside Estates, Duval County","{""lat"":30.323614692493916,""lng"":-81.52479839767594}"
81d70030-5,6454b95ba,Coggin Toyota Ave,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Jacksonville,Duval County,Florida,United States,32256,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"11340, Philips Highway","Southside, Duval County","{""lat"":30.16312414926096,""lng"":-81.53752071898467}"
8b4a6b8a-d,6454b95ba,Courtesy CDJR,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33619,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"9212, Florida 60",Hillsborough County,"{""lat"":27.94945148000958,""lng"":-82.35095229444275}"
ec6cf1bb-4,6454b95ba,Courtesy Kia,Asbury Automotive Management L.L.C,courtesykiaaltoona.com,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33619,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"9205, Auto Row",Hillsborough County,"{""lat"":27.948779214439227,""lng"":-82.35238943033218}"
96c7afe0-1,6454b95ba,Courtesy Nissan Tampa,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33614,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"3800, West Hillsborough Avenue","Drew Park, Hillsborough County","{""lat"":27.995012301391,""lng"":-82.50604474519714}"
df1d75f7-5,6454b95ba,Courtesy Palm Harbor Honda,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Palm Harbor,Pinellas County,Florida,United States,34684,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"31975, U.S. 19",Pinellas County,"{""lat"":28.06193347527229,""lng"":-82.7380557576721}"
d3e43438-c,6454b95ba,Courtesy Toyota,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33619,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"9210, East Adamo Drive",Hillsborough County,"{""lat"":27.9506166,""lng"":-82.3527544}"
ca1a3b1b-8,6454b95ba,Infiniti Tampa,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33614,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4600, North Dale Mabry Highway","Drew Park, Hillsborough County","{""lat"":27.98464786775986,""lng"":-82.50608767122532}"
064804b3-4,6454b95ba,Mercedes Benz Tampa,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Tampa,Hillsborough County,Florida,United States,33614,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4400, North Dale Mabry Highway","Drew Park, Hillsborough County","{""lat"":27.98262419420173,""lng"":-82.50612258911133}"
300acafe-a,6454b95ba,Mercedez Benz of Fort Pierce,Asbury Automotive Management L.L.C,,ankur.batra@spyne.ai,Studio Live,Fort Pierce,St. Lucie County,Florida,United States,34982,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4500, South US Highway 1",St. Lucie County,"{""lat"":27.3807439387263,""lng"":-80.32531172276579}"
dbe7e1b9-5,6454b95ba,Nalley Acura,Asbury Automotive Management L.L.C,nalleyacura.com,ankur.batra@spyne.ai,Studio Live,Marietta,,Georgia,United States,30060,GROUP_DEALER,FRANCHISE_DEALER,1355 Cobb Pkwy S,,"{""lat"":33.9174018,""lng"":-84.5005781}"
0eecd6b4-3,6454b95ba,Nalley BMW,Asbury Automotive Management L.L.C,nalleybmw.com,ankur.batra@spyne.ai,Studio Live,Decatur,,Georgia,United States,30033,GROUP_DEALER,FRANCHISE_DEALER,1606 Church Street,,"{""lat"":33.7935805,""lng"":-84.2841789}"
4824fe91-a,6454b95ba,Nalley Honda,Asbury Automotive Management L.L.C,nalleyhonda.com,ankur.batra@spyne.ai,Studio Live,Union City,,Georgia,United States,30291,GROUP_DEALER,FRANCHISE_DEALER,4197 Jonesboro Rd,,"{""lat"":33.5688542,""lng"":-84.5243285}"
6a387e4a5,6454b95ba,Nalley Hyundai,Asbury Automotive Management L.L.C,nalleyhyundai.com,ankur.batra@spyne.ai,Studio Live,Stonecrest,DeKalb County,Georgia,United States,30038,GROUP_DEALER,FRANCHISE_DEALER,"7909, Mall Parkway",DeKalb County,"{""lat"":33.6960491,""lng"":-84.1022349}"
20619f370,6454b95ba,Nalley INFINITI Atlanta,Asbury Automotive Management L.L.C,nalleyinfinitiatlanta.com,ankur.batra@spyne.ai,Studio Live,Atlanta,,Georgia,United States,30360,GROUP_DEALER,FRANCHISE_DEALER,2550 The Nalley Way,,"{""lat"":33.9076418,""lng"":-84.2833133}"
f467e9f64,6454b95ba,Nalley INFINITI Marietta,Asbury Automotive Management L.L.C,nalleyinfinitimarietta.com,ankur.batra@spyne.ai,Studio Live,Marietta,,Georgia,United States,30060,GROUP_DEALER,FRANCHISE_DEALER,2020 Cobb Pkwy S,,"{""lat"":33.9028481,""lng"":-84.4884303}"
a0dcf482d,6454b95ba,Nalley Kia,Asbury Automotive Management L.L.C,nalleykia.com,ankur.batra@spyne.ai,Studio Live,Lithonia,,Georgia,United States,30038,GROUP_DEALER,FRANCHISE_DEALER,7849 Mall Parkway,,"{""lat"":33.6983232,""lng"":-84.1042477}"
da324ef3-7,6454b95ba,Nalley Lexus Roswell,Asbury Automotive Management L.L.C,nalleylexusroswell.com,ankur.batra@spyne.ai,Studio Live,Roswell,,Georgia,United States,30076,GROUP_DEALER,FRANCHISE_DEALER,980 Mansell Road,,"{""lat"":34.042899,""lng"":-84.3331776}"
737cfc8c-e,6454b95ba,Nalley Lexus Smyrna,Asbury Automotive Management L.L.C,nalleylexussmyrna.com,ankur.batra@spyne.ai,Studio Live,Smyrna,,Georgia,United States,30080,GROUP_DEALER,FRANCHISE_DEALER,2750 Cobb Pkwy SE,,"{""lat"":33.8966531,""lng"":-84.4815988}"
e78b4ffb0,6454b95ba,Nalley Toyota Roswell,Asbury Automotive Management L.L.C,toyotaofroswell.com,ankur.batra@spyne.ai,Studio Live,Roswell,,Georgia,United States,30076,GROUP_DEALER,FRANCHISE_DEALER,11130 Alpharetta Highway,,"{""lat"":34.0556493,""lng"":-84.3286653}"
eb0daa1f0,6454b95ba,Nalley Toyota Stonecrest,Asbury Automotive Management L.L.C,stonecresttoyota.com,ankur.batra@spyne.ai,Studio Live,Lithonia,,Georgia,United States,30038,GROUP_DEALER,FRANCHISE_DEALER,7969 Mall Parkway,,"{""lat"":33.6948409,""lng"":-84.0991539}"
7d1c390da,6454b95ba,Nalley Union City,Asbury Automotive Management L.L.C,toyotaofunioncity.com,ankur.batra@spyne.ai,Studio Live,Union City,,Georgia,United States,30291,GROUP_DEALER,FRANCHISE_DEALER,4115 Jonesboro Rd,,"{""lat"":33.5658667,""lng"":-84.5231548}"
08b6e738-0,6454b95ba,Nalley Volkswagen,Asbury Automotive Management L.L.C,nalleyvw.com,ankur.batra@spyne.ai,Studio Live,Alpharetta,,Georgia,United States,30009,GROUP_DEALER,FRANCHISE_DEALER,1550 Mansell Road,,"{""lat"":34.0399039,""lng"":-84.3216547}"
765673b162,a1b6f03f4,Ashland Auto Sales,Ashland Auto Sales,ashlandautosales.net,garvit.sharma@spyne.ai,Studio Live,Columbia,,Missouri,United States,65201,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,605 Business Loop 70 E,,"{""lat"":38.9643258,""lng"":-92.3304577}"
cb605411d,a89d0cdbc,Audi Cape Fear_2,Audi Cape Fear,audicapefear.com,abhijeet.mitra@spyne.ai,Studio Live,Wilmington,,North Carolina,United States,28403,INDIVIDUAL_DEALER,FRANCHISE_DEALER,255 Old Eastwood Rd,,"{""lat"":34.2436492,""lng"":-77.862177}"
672982a947,216348ce1,Austin Ford CDJR,Austin Ford CDJR,,sanyam.tyagi@spyne.ai,Studio Sales Drop,Austin,,Minnesota,United States,55912,GROUP_DEALER,FRANCHISE_DEALER,2701 Oakland Avenue West,,"{""lat"":43.6666704,""lng"":-93.0209439}"
672982a947,216348ce1,Austin Ford CDJR,Austin Ford CDJR,,sanyam.tyagi@spyne.ai,Vini Sales Drop,Austin,,Minnesota,United States,55912,GROUP_DEALER,FRANCHISE_DEALER,2701 Oakland Avenue West,,"{""lat"":43.6666704,""lng"":-93.0209439}"
b75e784fa2,657a8c4e2,Auto Depot Of Navarre,Auto Depot Of Navarre,autodepotnavarre.com,sudansh.tiruwa@spyne.ai,Vini Live,Gulf Breeze,Santa Rosa County,Florida,United States,32563,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,"1809, Natures Way",Santa Rosa County,"{""lat"":30.40163909999999,""lng"":-86.9900376}"
c73bbb0688,34f66e8ad,Auto Exchange Chevy GMC,Auto Exchange Group,,vishal.singh1@spyne.ai,Studio Live,Sullivan,Sullivan County,Indiana,United States,47882,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2406, North Section Street",Sullivan County,"{""lat"":39.1309653,""lng"":-87.4101116}"
c73bbb0688,34f66e8ad,Auto Exchange Chevy GMC,Auto Exchange Group,,tushar.srivastava@spyne.ai,Vini Live,Sullivan,Sullivan County,Indiana,United States,47882,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"2406, North Section Street",Sullivan County,"{""lat"":39.1309653,""lng"":-87.4101116}"
c45040552,c60b76594,Auto Express Credit_1,Auto Express Credit,autoecredit.com,prathamesh.prashant@spyne.ai,Studio Live,Plantation,,Florida,United States,33317,INDIVIDUAL_DEALER,INDEPENDENT_DEALER,600 N State Rd 7,,"{""lat"":26.1277752,""lng"":-80.2017414}"
0c26e6fad,9d7892a1e,Auto Gallery Buford,Auto Gallery Automotive Group,autogalleryinc.com,jaspreet.kaur@spyne.ai,Studio Live,Buford,,Georgia,United States,30518,GROUP_DEALER,INDEPENDENT_DEALER,4135 Buford Dr,,"{""lat"":34.094048,""lng"":-84.003258}"
edda32b898,9d7892a1e,Auto Gallery Ford,Auto Gallery Automotive Group,autogalleryford.com,jaspreet.kaur@spyne.ai,Studio Live,Buford,,Georgia,USA,30518,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"4135 Buford Drive, Buford, GA, US, 30518","4135 Buford Drive, Buford, GA, US, 30518","{""lat"":35.1051953,""lng"":-81.6817066}"
aee3449879,87b2e0c86,Auto Park Chrysler Dodge Jeep Ram,Auto Park Chrysler Dodge Jeep Ram,autoparkcdjr.com,ishika.arora@spyne.ai,Studio Live,Plymouth,Marshall County,Indiana,United States,46563,INDIVIDUAL_DEALER,FRANCHISE_DEALER,"705, North Michigan Street",Marshall County,"{""lat"":41.34556389999999,""lng"":-86.3097822}"
3b9a8013b,87b2e0c86,Auto Park Ford,Auto Park Chrysler Dodge Jeep Ram,autopark-ford.com,ishika.arora@spyne.ai,Studio Live,Bremen,Marshall County,Indiana,United States,46506,GROUP_DEALER,FRANCHISE_DEALER,"1203, West Plymouth Street",Marshall County,"{""lat"":41.4460349,""lng"":-86.1613505}"
b081b27e0,87b2e0c86,Auto Park Ford Laporte,Auto Park Chrysler Dodge Jeep Ram,autoparkfordlaporte.com,ishika.arora@spyne.ai,Studio Live,La Porte,LaPorte County,Indiana,United States,46350,GROUP_DEALER,FRANCHISE_DEALER,"1522, East Lincolnway",LaPorte County,"{""lat"":41.6247786,""lng"":-86.6881691}"
b1b6b695f,87b2e0c86,Auto ParkSturgis,Auto Park Chrysler Dodge Jeep Ram,autopark-ford.com,ishika.arora@spyne.ai,Studio Live,Sturgis,St. Joseph County,Michigan,United States,49091,GROUP_DEALER,FRANCHISE_DEALER,"1820, South Centerville Road",St. Joseph County,"{""lat"":41.7790755,""lng"":-85.4275533}"
af1f8ecea0,87b2e0c86,Team 1,Auto Park Chrysler Dodge Jeep Ram,,ishika.arora@spyne.ai,Studio Live,Plymouth,,Indiana,United States,46563,GROUP_DEALER,FRANCHISE_DEALER,2705 N Michigan St,,"{""lat"":41.3656824,""lng"":-86.3125773}"
